Open,High,Low,Close,Adj_Close,Volume
158.81685,165.89294,158.69734,165.49092,165.07185,29813662.0
167.63387,171.23657,165.68178,165.9211,167.94032,27535800.0
172.39842,173.48068,165.7058,170.88399,168.08315,19232384.0
192.49394,195.88065,186.97118,189.84846,190.98228,13966516.0
243.21078,246.11139,241.3322,243.15718,243.14125,8355034.5
200.24467,204.14594,196.74435,199.5945,200.94312,12660749.0
254.1762,256.2265,250.70241,256.65906,253.68251,7532904.5
257.0516,259.15314,255.84418,257.41818,257.60803,7512205.0
201.37715,201.96571,196.71585,202.20927,199.47755,12350622.0
176.05214,179.06732,171.5392,174.79659,172.50963,17913854.0
248.19131,249.42616,248.39476,245.6585,245.10464,8027083.5
181.91716,181.42267,169.19756,174.27602,178.04439,14839027.0
214.60152,219.97264,214.80466,218.17749,218.39716,10961808.0
198.5474,199.79648,193.22806,195.99763,199.08662,12625517.0
301.61685,298.486,297.58185,297.74146,297.55283,6298308.5
183.98106,184.22269,176.48643,178.50352,178.6054,16618746.0
266.59,266.27493,261.0798,264.21368,267.09555,6999654.0
240.44867,242.65247,241.61269,239.35214,239.17546,8507463.0
192.3442,192.35889,185.38634,189.9345,187.25566,14400989.0
223.9635,228.84143,225.1139,230.30386,227.53026,9835224.0
187.43764,187.62653,180.03688,183.07164,182.3597,15719003.0
217.83975,221.98546,216.42343,221.36873,221.1896,10811858.0
203.60432,207.07423,203.61983,209.23157,207.50969,12020744.0
222.98807,227.27785,221.29378,228.71504,226.67307,10246414.0
202.76115,206.95766,200.35466,202.95715,204.14832,12329578.0
266.70544,265.63525,258.19922,261.88577,266.85938,7203425.0
181.9217,185.35742,177.18507,177.13307,178.38197,16544263.0
199.15112,202.94505,195.21344,198.19655,199.49644,12811245.0
158.91695,165.95679,158.79503,165.5736,165.12779,29750352.0
220.92978,226.9344,218.09598,220.99745,220.00246,10737334.0
193.23982,196.61774,187.65657,190.74788,191.87148,13784277.0
196.98418,200.56537,192.17973,195.42638,196.62962,13109474.0
